matchID,map,p_model,mc_mean,mc_se
2368450,Inferno,0.4541529185363904,0.4608,0.4985108450299978
2368450,Ancient,0.40723538325196856,0.4104,0.49195553056024255
2368450,Nuke,0.5753549165110174,0.5856,0.4926674174702924
2368332,Vertigo,0.4511174537774853,0.4584,0.4983162688702469
2368332,Anubis,0.6220989968923565,0.6322,0.4822547811424859
2368419,Anubis,0.2867376706557404,0.2956,0.45635763657299705
2368419,Mirage,0.5254315713607554,0.5374,0.4986491453858502
2368989,TBA,0.1175435744022858,0.1164,0.32073605086248813
2368990,TBA,0.13110519727874667,0.131,0.3374341007581642
2368992,TBA,0.11528431728443607,0.1144,0.31832830000066953
2368993,TBA,0.13146643759386678,0.1316,0.3380891906881556
2368994,TBA,0.13085261829744962,0.1304,0.3367766673995408
2368995,TBA,0.12395061691870099,0.1234,0.32892868347981324
2368996,TBA,0.10413612262301743,0.1028,0.3037278553607232
2368956,Vertigo,0.5133502837400455,0.524,0.49947361770063076
2368954,Anubis,0.69666912034553,0.702,0.4574252371366428
2368947,Mirage,0.6406872604811124,0.6476,0.47776551987182553
2368946,Ancient,0.7324322127669944,0.7352,0.44127078305819906
2368945,Ancient,0.4711625457468268,0.4782,0.4995744938795284
2368936,Ancient,0.645981732452991,0.6518,0.47644743721851046
2368933,Ancient,0.7588367869299417,0.762,0.4259017239407363
2368933,Inferno,0.4631583762248203,0.4692,0.49910037090353604
2368922,Ancient,0.5904728804511598,0.5996,0.4900284334333209
2368921,Mirage,0.5365524967083288,0.5478,0.4977596939714871
2368932,Ancient,0.7337781080968786,0.7362,0.44073621326359874
2368932,Overpass,0.7188836181025582,0.7228,0.44766085382576126
2368157,Anubis,0.6191875520454929,0.6282,0.48333371731802377
2368157,Nuke,0.4229477141418026,0.4274,0.49475063985721923
2368157,Ancient,0.565180730430504,0.5758,0.4942703922390343
2368377,Anubis,0.33466297490283625,0.3464,0.47587007729641206
2368377,Inferno,0.6584284674906299,0.666,0.47168686403114923
2368377,Mirage,0.5773721970790103,0.5864,0.4925277217693866
2367968,Anubis,0.5534426247533782,0.5626,0.4961153757879498
2367968,Vertigo,0.5714628534295285,0.5818,0.4933127116609679
2368237,Ancient,0.7006861249637356,0.706,0.45563748869492815
2368237,Vertigo,0.5924096475431161,0.6018,0.48957603795466526
2368236,Vertigo,0.4663405687062548,0.4728,0.4993095452766759
2368236,Overpass,0.4975492599948994,0.5064,0.5000090417266089
2368376,Vertigo,0.6273493247172011,0.636,0.4811967477674931
2368376,Nuke,0.5052377471810353,0.5148,0.49983089758961186
2368365,Mirage,0.5580668728713244,0.569,0.49526564347986257
2368365,Inferno,0.6337186690038712,0.6412,0.47969634323845256
2368365,Ancient,0.6597658724908004,0.668,0.47097809298609056
2368235,Ancient,0.6867017205619398,0.6942,0.4607915209345253
2368235,Overpass,0.2398933337122588,0.2448,0.43001156029622933
2368235,Vertigo,0.28863847267417114,0.2988,0.45777775404055937
2368038,Anubis,0.5729470198863076,0.5836,0.49301080305647066
2368038,Overpass,0.2898173454138218,0.2996,0.4581286024286987
2368038,Nuke,0.5760162574863218,0.5862,0.4925627712451717
2368156,Vertigo,0.4667807234912621,0.4734,0.49934187533361585
2368156,Mirage,0.5106407024160284,0.5208,0.4996171368725169
2368156,Overpass,0.48051098759628474,0.4894,0.4999376236346942
2368234,Ancient,0.4846044803805513,0.4942,0.5000163630049066
2368366,Ancient,0.5111167897670299,0.5214,0.49959179175770924
2368366,Overpass,0.37564873250629394,0.3814,0.4857789993888677
2368366,Mirage,0.5395185248639125,0.5506,0.4974828015394758
2368037,Nuke,0.31029177025385046,0.318,0.465746050843993
2368037,Inferno,0.7287358474033513,0.7316,0.4431712086135885
2368233,Ancient,0.5881028426134494,0.5958,0.490785629482793
2368155,Anubis,0.497969989872617,0.5072,0.49999815962853944
2368155,Ancient,0.5390254768606038,0.55,0.49754347538881505
2368232,Ancient,0.739118471881393,0.7404,0.43845899381567205
2368309,Overpass,0.23572090850089863,0.2404,0.4273691248485023
2368309,Nuke,0.5116655946408257,0.5224,0.49954794527645285
2368349,Mirage,0.6633502621584512,0.6716,0.4696781445968105
2368349,Anubis,0.3188791417546588,0.3278,0.4694584520994904
2368349,Inferno,0.6947419314727687,0.7004,0.4581286024286987
2368230,Vertigo,0.494740557663642,0.5032,0.5000397663722264
2368229,Anubis,0.6774784175733533,0.6834,0.46519643328846455
2368293,Inferno,0.2975038265603205,0.3064,0.4610439808851885
2368293,Vertigo,0.49683419844186394,0.5056,0.5000186433811701
2368293,Mirage,0.4407794188932941,0.446,0.49712516199176354
2368367,Mirage,0.34354144750250065,0.355,0.47856118120970925
2368367,Nuke,0.6201290655984848,0.63,0.48285259585702256
2368231,Ancient,0.5421710452109525,0.5522,0.49731742873640067
2368290,Mirage,0.535439023190026,0.5468,0.4978547296816344
2368290,Inferno,0.6813084608398127,0.6878,0.46343728251292493
2368291,Ancient,0.6763829057378165,0.6826,0.46551109558851894
2368291,Overpass,0.5549514566601603,0.5652,0.49578031387291366
2368291,Mirage,0.5026864081245853,0.5116,0.499915415930152
